N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
154,TIGER 단기통안채,"100,875",5,0.00%,0,"17,921","17,766",0.67,"73,835",N/A,N/A
155,코오롱인더,"65,100",400,-0.61%,"5,000","17,915","27,519",18.09,"92,455",10.27,8.20
156,현대위아,"64,800",100,+0.15%,"5,000","17,622","27,195",6.83,"159,997",28.27,1.96
157,효성,"82,200",0,0.00%,"5,000","17,320","21,071",6.49,"17,425",3.95,18.04
158,JB금융지주,"8,770",80,+0.92%,"5,000","17,275","196,983",27.91,"264,813",3.41,12.80
159,대웅,"29,300",700,+2.45%,500,"17,036","58,142",4.53,"45,011",21.62,11.13
160,롯데칠성,"183,500","1,000",+0.55%,500,"17,027","9,279",10.92,"21,627",11.74,9.96
161,농심,"277,500","2,000",-0.72%,"5,000","16,879","6,083",12.73,"21,948",16.25,4.73
162,LIG넥스원,"76,200","3,000",+4.10%,"5,000","16,764","22,000",9.56,"469,872",13.21,14.63
163,오뚜기,"454,000","4,500",+1.00%,"5,000","16,671","3,672",12.18,"3,068",11.43,8.91
164,동국제강,"17,450",250,+1.45%,"5,000","16,653","95,433",21.44,"415,537",3.02,23.41
165,한전KPS,"36,900",600,-1.60%,200,"16,605","45,000",5.64,"262,212",22.00,9.12
166,KG스틸,"16,600",300,-1.78%,"5,000","16,601","100,009",0.90,"2,182,362",8.70,17.99
167,대덕전자,"33,200",250,-0.75%,500,"16,406","49,417",17.18,"523,906",19.68,9.55
168,동원시스템즈,"56,100",700,-1.23%,"5,000","16,375","29,188",13.04,"31,758",37.88,6.95
169,효성티앤씨,"376,000","2,500",+0.67%,"5,000","16,272","4,328",9.91,"14,167",2.33,76.22
170,한샘,"68,700","1,400",+2.08%,"1,000","16,168","23,534",14.00,"53,400",28.90,9.10
171,코스모신소재,"53,000",800,-1.49%,"1,000","15,946","30,087",7.34,"770,226",75.93,9.42
172,일진하이솔루스,"43,350",450,+1.05%,500,"15,742","36,313",2.47,"124,339",162.36,4.97
173,TIGER 미국S&P500,"12,555",35,+0.28%,0,"15,600","124,250",0.37,"1,263,251",N/A,N/A
174,신풍제약,"29,000",750,+2.65%,500,"15,366","52,985",5.98,"418,068",-87.09,-3.19
175,아이에스동서,"49,000",200,+0.41%,500,"15,137","30,893",4.94,"24,498",14.42,8.69
176,한미반도체,"15,000",250,+1.69%,100,"14,838","98,920",5.60,"359,882",14.31,34.59
177,LS ELECTRIC,"49,000",550,-1.11%,"5,000","14,700","30,000",14.83,"44,367",17.35,5.86
178,KODEX 단기채권,"103,435",10,+0.01%,0,"14,626","14,140",0.00,"2,065,667",N/A,N/A
179,LX인터내셔널,"37,550",250,-0.66%,"5,000","14,554","38,760",24.22,"188,122",3.28,22.49
180,DGB금융지주,"8,550",10,-0.12%,"5,000","14,462","169,146",49.35,"240,770",2.87,9.63
181,KODEX 삼성그룹,"9,025",50,+0.56%,0,"14,359","159,100",0.09,"254,850",N/A,N/A
182,PI첨단소재,"48,800","1,350",+2.85%,500,"14,331","29,366",10.41,"185,731",24.04,21.03
183,ESR켄달스퀘어리츠,"6,650",140,-2.06%,"1,000","14,170","213,089",53.27,"284,228",47.50,1.34
184,롯데리츠,"5,830",0,0.00%,500,"14,165","242,969",9.36,"113,986",76.71,1.59
185,KODEX 종합채권(AA-이상)액티브,"103,320",60,+0.06%,0,"14,067","13,615",0.00,"2,445",N/A,N/A
186,현대엘리베이,"34,200",100,+0.29%,"5,000","13,959","40,815",30.05,"56,202",12.34,10.62
187,TIGER 2차전지테마,"21,315",30,+0.14%,0,"13,801","64,750",1.04,"1,883,374",N/A,N/A
188,KODEX 2차전지산업,"20,440",20,-0.10%,0,"13,736","67,200",0.77,"1,682,554",N/A,N/A
189,한일시멘트,"19,800",100,+0.51%,500,"13,714","69,262",3.37,"86,043",21.24,5.89
190,롯데렌탈,"37,000",150,+0.41%,"5,000","13,555","36,634",4.73,"29,271",10.04,12.28
191,에스엘,"29,100","1,050",-3.48%,500,"13,517","46,449",14.08,"516,728",14.54,6.63
192,아시아나항공,"18,150",50,-0.27%,"5,000","13,506","74,412",7.61,"329,797",-3.73,-47.21
193,TIGER 미국필라델피아반도체나스닥,"10,010",0,0.00%,0,"13,463","134,500",0.67,"1,508,387",N/A,N/A
194,한국앤컴퍼니,"14,100",100,-0.70%,500,"13,386","94,935",9.77,"29,752",6.76,5.53
195,두산,"80,400",700,+0.88%,"5,000","13,285","16,524",11.75,"74,985",8.13,11.08
196,TIGER MSCI Korea TR,"14,330",35,+0.24%,0,"13,255","92,500",4.76,"10,340",N/A,N/A
197,삼성 레버리지 WTI원유 선물 ETN,"2,575",85,+3.41%,0,"12,978","504,000",0.00,"1,081,924",N/A,N/A
198,DL,"61,100","1,300",-2.08%,"5,000","12,804","20,956",11.80,"59,560",2.08,26.52
199,현대두산인프라코어,"6,390",180,+2.90%,"1,000","12,617","197,457",9.21,"1,624,737",2.79,24.63
200,케이카,"26,000",650,+2.56%,500,"12,502","48,087",16.58,"107,897",25.90,20.96
